link,college name,Estd,Rating,Review,facilities,image,Address,contact_no,website
https://collegedunia.com/university/25602-indian-institute-of-management-iimb-bangalore,"Indian Institute of Management - [IIMB], Bangalore",Estd 1973,"9.2,9.2",17 reviews,"Comp,Labs,Sports,Gym,Medical,Cafeteria,Library,Auditorium,Hostel,Laboratory,",https://images.collegedunia.com/public/college_data/images/appImage/25602_IIMB_New.jpg?w=1286&h=193&mode=stretch,"Bannerghatta Road 
 Bangalore - 560076 
 Karnataka ,    India ",",080-26993013  ,    26993017  ,    26993056",http://www.iimb.ac.in/
https://collegedunia.com/university/25621-national-law-school-of-india-university-nlsiu-bangalore,"National Law School of India University - [NLSIU], Bangalore",Estd 1987,"9.0,9.0",20 reviews,"Sports,Medical,Library,Auditorium,Hostel,Comp,Labs,Gym,Cafeteria,Laboratory,",https://images.collegedunia.com/public/college_data/images/appImage/25621_NLSIU.jpg?w=1286&h=193&mode=stretch,"P.O. Bag 7201, Nagarbhavi 
 Bangalore - 560072 
 Karnataka ,    India ",",080-23213160  ,    23160532  ,    23160535  ,    23160533",http://www.nls.ac.in
https://collegedunia.com/university/25598-christ-university-bangalore,"Christ University, Bangalore",Estd 1969,"8.3,8.3",328 reviews,"Comp,Labs,Sports,Medical,Cafeteria,Laboratory,Library,Auditorium,Hostel,Wi-Fi,Campus,Classrooms,Gym,",https://images.collegedunia.com/public/college_data/images/appImage/1505110380ccaaaaaaaaaaaaaaaaaammmmmmmmmmmm.jpg?w=1286&h=193&mode=stretch,"Hosur Road 
 Bangalore - 560029 
 Karnataka ,    India ",",080-40129800  ,    40129802  ,    40129820",http://www.christuniversity.in/
https://collegedunia.com/college/7960-institute-of-hotel-management-ihm-bangalore,"Institute of Hotel Management - [IHM], Bangalore",Estd 1969,"8.3,8.3",21 reviews,"Comp,Labs,Sports,Cafeteria,Library,Auditorium,",https://images.collegedunia.com/public/college_data/images/appImage/7960_IHMB_New.jpg?w=1286&h=193&mode=stretch,"S.J. Polytechnic Campus, Seshadri Road, 
 Bangalore - 560001 
 Karnataka ,    India ",",080-22262960",http://www.ihmbangalore.kar.nic.in/
https://collegedunia.com/college/6988-the-oxford-college-of-science-tocs-bangalore,"The Oxford College of Science - [TOCS], Bangalore","BU, Bangalore","6.9,6.9",33 reviews,"Sports,Gym,Medical,Cafeteria,Library,Auditorium,Hostel,Comp,Labs,Laboratory,",https://images.collegedunia.com/public/college_data/images/appImage/6988_OXFORDCOS_APP.jpg?w=1286&h=193&mode=stretch,"No.32, 17th B Main, Sector IV, HSR Layout, 
 Bangalore - 560102 
 Karnataka ,    India ",",080-30266352  ,    30266351  ,    61754553",http://www.theoxford.edu/college_of_science/
https://collegedunia.com/college/18892-st-josephs-college-of-commerce-sjcc-bangalore,"St. Joseph's College of Commerce - [SJCC], Bangalore",Estd 1972,"8.2,8.2",54 reviews,"Sports,Medical,Cafeteria,Library,Auditorium,Hostel,Laboratory,Gym,Comp,Labs,",https://images.collegedunia.com/public/college_data/images/appImage/1571299215institution.jpg?w=1286&h=193&mode=stretch,"163, Brigade Road, 
 Bangalore - 560025 
 Karnataka ,    India ",",080-25360644  ,    25360646",https://www.sjcc.edu.in/
https://collegedunia.com/college/58079-national-institute-of-fashion-technology-nift-bangalore,"National Institute of Fashion Technology - [NIFT], Bangalore",Estd 1986,"7.6,7.6",16 reviews,"Classrooms,Gym,Auditorium,Laboratory,Cafeteria,Sports,Hostel,Medical,",https://images.collegedunia.com/public/college_data/images/appImage/1486103151NIFTBangalore.jpg?w=1286&h=193&mode=stretch,"NIFT Campus, C.A. Site #21, Sector-1, 27th Main, HSR Layout, 
 Bangalore - 560102 
 Karnataka ,    India ",",080 - 22552550  ,    22552555",https://www.nift.ac.in/bengaluru/
https://collegedunia.com/college/7843-army-institute-of-hotel-management-and-catering-technology-aihmct-bangalore,"Army Institute of Hotel Management & Catering Technology - [AIHMCT], Bangalore",Estd 1996,"8.1,8.1",4 reviews,"Comp,Labs,Sports,Gym,Medical,Cafeteria,Library,Auditorium,Hostel,Transport,Security,Banks,E-Classroom,Communication,Centre,",https://images.collegedunia.com/public/college_data/images/appImage/7843_cover 3.jpg?w=1286&h=193&mode=stretch,"Nagareshwara Nagenahalli, Kothanur Post 
 Bangalore - 560077 
 Karnataka ,    India ",",Admission Helpline -  080-64546807  ,    64543207  ,    Registrar -  64543206  ,    Principal -  65765777,9341810326",http://aihmctbangalore.com/
https://collegedunia.com/college/9224-al-ameen-college-of-pharmacy-bangalore,"Al- Ameen College of Pharmacy, Bangalore",Estd 1983,"8.5,8.5",21 reviews,"Comp,Labs,Sports,Gym,Medical,Cafeteria,Laboratory,Library,Auditorium,Hostel,Transport,",https://images.collegedunia.com/public/college_data/images/appImage/9224_AlACP_New.jpg?w=1286&h=193&mode=stretch,"Hosur Road (Near Lal bhag Main Gate), 
 Bangalore - 560027 
 Karnataka ,    India ",",080-22234619  ,    22225834  ,    22235626",http://www.alameenpharmacy.edu
https://collegedunia.com/college/3047-mount-carmel-college-mcc-bangalore,"Mount Carmel College - [MCC], Bangalore",Estd 1948,"8.3,8.3",79 reviews,"Comp,Labs,Sports,Cafeteria,Auditorium,Library,Laboratory,Hostel,Gym,Classrooms,Banks,Medical,Security,",https://images.collegedunia.com/public/college_data/images/appImage/1504523545cover.jpg?w=1286&h=193&mode=stretch,"No. 58, Palace Road, Fatima Block, Vasanth Nagar 
 Bangalore - 560052 
 Karnataka ,    India ",",080-22261759  ,    22287386",https://mccblr.edu.in/
https://collegedunia.com/college/9457-government-college-of-pharmacy-bangalore,"Government College of Pharmacy, Bangalore",Estd 1964,"7.8,7.8",14 reviews,"Comp,Labs,Sports,Medical,Cafeteria,Laboratory,Library,Auditorium,",https://images.collegedunia.com/public/college_data/images/appImage/9457_GCP_New.jpg?w=1286&h=193&mode=stretch,"P.Kalingarao Road, Subbaiah Circle 
 Bangalore - 560027 
 Karnataka ,    India ",",080-22222681",http://www.govtcopblr.org/
https://collegedunia.com/college/5682-srishti-institute-of-art-design-and-technology-bangalore,"Srishti Institute of Art, Design and Technology, Bangalore",Private,"7.6,7.6",29 reviews,"Library,Laboratory,Medical,Auditorium,Hostel,Gym,Sports,Classrooms,Cafeteria,",https://images.collegedunia.com/public/college_data/images/appImage/5682_SCART_APP.jpg?w=1286&h=193&mode=stretch,"CA Site No. 21,5th Phase, KHB Colony,Yelahanka New Town, 
 Bangalore - 560064 
 Karnataka ,    India ",",080-49000800  ,    49000801  ,    49000802  ,    49000803  ,    49000804",http://srishti.ac.in
https://collegedunia.com/college/4165-seshadripuram-college-bangalore,"Seshadripuram College, Bangalore",Private,"8.1,8.1",45 reviews,"Sports,Medical,Cafeteria,Library,Auditorium,Hostel,Classrooms,Comp,Labs,",https://images.collegedunia.com/public/college_data/images/appImage/4165_SCB_New.jpg?w=1286&h=193&mode=stretch,"No. 27, Nagappa Street, Seshadripuram 
 Bangalore - 560020 
 Karnataka ,    India ",",Principal -  080-22955379  ,    Office -  22955354",http://www.spmcollege.ac.in/
